LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4258091480589396
Amygdala;DICE;STD;0.052419910544297066
Amygdala;HDRFDST;MEAN;35.699132273157105
Amygdala;HDRFDST;STD;14.6891781575292
GreyMatter;DICE;MEAN;0.5976760213030567
GreyMatter;DICE;STD;0.034642341190660376
GreyMatter;HDRFDST;MEAN;16.370822214868685
GreyMatter;HDRFDST;STD;2.4892127287883534
Hippocampus;DICE;MEAN;0.3590448063375485
Hippocampus;DICE;STD;0.023780812111175057
Hippocampus;HDRFDST;MEAN;25.330182784031685
Hippocampus;HDRFDST;STD;4.79393785186507
Thalamus;DICE;MEAN;0.6513396999393236
Thalamus;DICE;STD;0.08268276678771551
Thalamus;HDRFDST;MEAN;57.40937373831125
Thalamus;HDRFDST;STD;7.665755473200184
WhiteMatter;DICE;MEAN;0.7214131899578916
WhiteMatter;DICE;STD;0.04751613766317507
WhiteMatter;HDRFDST;MEAN;20.895899873275688
WhiteMatter;HDRFDST;STD;3.0759337583955113
