LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3986273587480026
Amygdala;DICE;STD;0.051137041712914624
Amygdala;HDRFDST;MEAN;16.79658821387802
Amygdala;HDRFDST;STD;1.3691692274565463
GreyMatter;DICE;MEAN;0.6080271727313705
GreyMatter;DICE;STD;0.02895338469855294
GreyMatter;HDRFDST;MEAN;16.55976414485074
GreyMatter;HDRFDST;STD;2.8415156988684735
Hippocampus;DICE;MEAN;0.30198280254448673
Hippocampus;DICE;STD;0.0297040699064876
Hippocampus;HDRFDST;MEAN;26.618846684525476
Hippocampus;HDRFDST;STD;8.469769842547503
Thalamus;DICE;MEAN;0.705783958679283
Thalamus;DICE;STD;0.0380461250280533
Thalamus;HDRFDST;MEAN;7.662572922716805
Thalamus;HDRFDST;STD;0.764837370979778
WhiteMatter;DICE;MEAN;0.7406190250170759
WhiteMatter;DICE;STD;0.04426938865479691
WhiteMatter;HDRFDST;MEAN;17.962311149495285
WhiteMatter;HDRFDST;STD;3.5993580217473817
