LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4330340103009573
Amygdala;DICE;STD;0.06648405986953694
Amygdala;HDRFDST;MEAN;16.797937431487405
Amygdala;HDRFDST;STD;1.4930834028393611
GreyMatter;DICE;MEAN;0.6319287478867396
GreyMatter;DICE;STD;0.03418334754271083
GreyMatter;HDRFDST;MEAN;15.951722532580224
GreyMatter;HDRFDST;STD;2.4581595236217635
Hippocampus;DICE;MEAN;0.3745698944238094
Hippocampus;DICE;STD;0.044676743268522986
Hippocampus;HDRFDST;MEAN;19.014292210937402
Hippocampus;HDRFDST;STD;2.2037903069677913
Thalamus;DICE;MEAN;0.7127569503251044
Thalamus;DICE;STD;0.08098114011835139
Thalamus;HDRFDST;MEAN;58.96362751480628
Thalamus;HDRFDST;STD;3.2079012290250506
WhiteMatter;DICE;MEAN;0.7557821329385673
WhiteMatter;DICE;STD;0.027216930090614554
WhiteMatter;HDRFDST;MEAN;19.302249762519935
WhiteMatter;HDRFDST;STD;3.5669530562230682
