LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.38803606207072205
Amygdala;DICE;STD;0.05623888296204562
Amygdala;HDRFDST;MEAN;33.48841969764824
Amygdala;HDRFDST;STD;14.650110789825638
GreyMatter;DICE;MEAN;0.5798774890849901
GreyMatter;DICE;STD;0.05414234971092896
GreyMatter;HDRFDST;MEAN;16.532133104096623
GreyMatter;HDRFDST;STD;3.0147263604567094
Hippocampus;DICE;MEAN;0.33464430780786464
Hippocampus;DICE;STD;0.03151164756563105
Hippocampus;HDRFDST;MEAN;21.7885973261521
Hippocampus;HDRFDST;STD;4.489657732923238
Thalamus;DICE;MEAN;0.620190572628143
Thalamus;DICE;STD;0.12830528635734195
Thalamus;HDRFDST;MEAN;56.544363245741536
Thalamus;HDRFDST;STD;6.703356258892573
WhiteMatter;DICE;MEAN;0.6931720117081002
WhiteMatter;DICE;STD;0.121300957139685
WhiteMatter;HDRFDST;MEAN;20.95870669601168
WhiteMatter;HDRFDST;STD;3.071256034679498
