LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4143634589072751
Amygdala;DICE;STD;0.046791628561197354
Amygdala;HDRFDST;MEAN;37.36134974556697
Amygdala;HDRFDST;STD;7.066084148198571
GreyMatter;DICE;MEAN;0.5983960637335094
GreyMatter;DICE;STD;0.0353034357492145
GreyMatter;HDRFDST;MEAN;16.6933196020287
GreyMatter;HDRFDST;STD;2.7263676686250884
Hippocampus;DICE;MEAN;0.3516986771434215
Hippocampus;DICE;STD;0.021480384367934677
Hippocampus;HDRFDST;MEAN;24.146472498334553
Hippocampus;HDRFDST;STD;4.737917885229039
Thalamus;DICE;MEAN;0.659509069625821
Thalamus;DICE;STD;0.07059223568318596
Thalamus;HDRFDST;MEAN;52.33682273503482
Thalamus;HDRFDST;STD;5.1533470678329625
WhiteMatter;DICE;MEAN;0.7225106285212222
WhiteMatter;DICE;STD;0.047620867421353984
WhiteMatter;HDRFDST;MEAN;21.023290656099736
WhiteMatter;HDRFDST;STD;3.3198268010770735
