LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.41727375841168923
Amygdala;DICE;STD;0.054785065205491326
Amygdala;HDRFDST;MEAN;16.080759306997734
Amygdala;HDRFDST;STD;1.1441940877341543
GreyMatter;DICE;MEAN;0.6407891822135343
GreyMatter;DICE;STD;0.03340839446594022
GreyMatter;HDRFDST;MEAN;15.975113761716662
GreyMatter;HDRFDST;STD;2.719511040648847
Hippocampus;DICE;MEAN;0.3435573476794717
Hippocampus;DICE;STD;0.01790029216411881
Hippocampus;HDRFDST;MEAN;37.170859402046005
Hippocampus;HDRFDST;STD;8.912194528472106
Thalamus;DICE;MEAN;0.6672550163471067
Thalamus;DICE;STD;0.13630949953299146
Thalamus;HDRFDST;MEAN;65.60199631079851
Thalamus;HDRFDST;STD;6.362238602722924
WhiteMatter;DICE;MEAN;0.7184328459354616
WhiteMatter;DICE;STD;0.1327956218653282
WhiteMatter;HDRFDST;MEAN;19.87638519130191
WhiteMatter;HDRFDST;STD;3.305950956531907
