LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5038331021519755
Amygdala;DICE;STD;0.0451779385297236
Amygdala;HDRFDST;MEAN;12.150893989160773
Amygdala;HDRFDST;STD;1.2867693127272621
GreyMatter;DICE;MEAN;0.656292358413153
GreyMatter;DICE;STD;0.04897984579313046
GreyMatter;HDRFDST;MEAN;12.729816591545106
GreyMatter;HDRFDST;STD;2.269750987580569
Hippocampus;DICE;MEAN;0.5094145353304593
Hippocampus;DICE;STD;0.036404726597489764
Hippocampus;HDRFDST;MEAN;13.946251000386795
Hippocampus;HDRFDST;STD;1.0010409752904357
Thalamus;DICE;MEAN;0.7559606847680775
Thalamus;DICE;STD;0.04227184036752702
Thalamus;HDRFDST;MEAN;26.22344180922611
Thalamus;HDRFDST;STD;15.9289390631684
WhiteMatter;DICE;MEAN;0.7521481182108708
WhiteMatter;DICE;STD;0.10502791960769678
WhiteMatter;HDRFDST;MEAN;16.84762840711581
WhiteMatter;HDRFDST;STD;3.0915072465942104
