LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5332678660662882
Amygdala;DICE;STD;0.04998240694527049
Amygdala;HDRFDST;MEAN;15.656298530873192
Amygdala;HDRFDST;STD;4.720202994806245
GreyMatter;DICE;MEAN;0.6740703392290894
GreyMatter;DICE;STD;0.02538225821009418
GreyMatter;HDRFDST;MEAN;12.491683462009274
GreyMatter;HDRFDST;STD;1.9641395787886335
Hippocampus;DICE;MEAN;0.5236167276421723
Hippocampus;DICE;STD;0.030565092703556864
Hippocampus;HDRFDST;MEAN;14.343414497337662
Hippocampus;HDRFDST;STD;2.8401515025723225
Thalamus;DICE;MEAN;0.7601629718868461
Thalamus;DICE;STD;0.027741736928462293
Thalamus;HDRFDST;MEAN;18.519605510126745
Thalamus;HDRFDST;STD;13.595006868305848
WhiteMatter;DICE;MEAN;0.7767898403274996
WhiteMatter;DICE;STD;0.03738229560450119
WhiteMatter;HDRFDST;MEAN;17.34207132232435
WhiteMatter;HDRFDST;STD;2.6930581596793
