LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4363374719085983
Amygdala;DICE;STD;0.03854957733416481
Amygdala;HDRFDST;MEAN;11.34235432949464
Amygdala;HDRFDST;STD;1.204573893206313
GreyMatter;DICE;MEAN;0.5118729246918754
GreyMatter;DICE;STD;0.014607293510677957
GreyMatter;HDRFDST;MEAN;4.793149574325055
GreyMatter;HDRFDST;STD;0.6524700438698608
Hippocampus;DICE;MEAN;0.4209267819916695
Hippocampus;DICE;STD;0.022230660993060397
Hippocampus;HDRFDST;MEAN;11.865109587020465
Hippocampus;HDRFDST;STD;0.8480415602994248
Thalamus;DICE;MEAN;0.7173112344092525
Thalamus;DICE;STD;0.018366671095473592
Thalamus;HDRFDST;MEAN;6.19114017239182
Thalamus;HDRFDST;STD;0.5194067440803865
WhiteMatter;DICE;MEAN;0.6368383217827245
WhiteMatter;DICE;STD;0.020583365396354764
WhiteMatter;HDRFDST;MEAN;4.481355300827961
WhiteMatter;HDRFDST;STD;0.34271659974551527
