LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5362584052083975
Amygdala;DICE;STD;0.05086728985923585
Amygdala;HDRFDST;MEAN;15.843748585205836
Amygdala;HDRFDST;STD;4.7828475585981245
GreyMatter;DICE;MEAN;0.6736500014699297
GreyMatter;DICE;STD;0.026422993741693882
GreyMatter;HDRFDST;MEAN;12.527756432025415
GreyMatter;HDRFDST;STD;2.086940051809313
Hippocampus;DICE;MEAN;0.5201480521939825
Hippocampus;DICE;STD;0.030568603587208257
Hippocampus;HDRFDST;MEAN;14.611118835226637
Hippocampus;HDRFDST;STD;3.1329229774900833
Thalamus;DICE;MEAN;0.7593254756690533
Thalamus;DICE;STD;0.027358852882639926
Thalamus;HDRFDST;MEAN;17.542087639699933
Thalamus;HDRFDST;STD;13.42293415170792
WhiteMatter;DICE;MEAN;0.7770331777530198
WhiteMatter;DICE;STD;0.038423107309793945
WhiteMatter;HDRFDST;MEAN;17.229971799427354
WhiteMatter;HDRFDST;STD;2.9031141539626364
