LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5170480911777999
Amygdala;DICE;STD;0.03408381731837799
Amygdala;HDRFDST;MEAN;13.651965767145764
Amygdala;HDRFDST;STD;1.2344353740395488
GreyMatter;DICE;MEAN;0.6930305824532926
GreyMatter;DICE;STD;0.022171683591739818
GreyMatter;HDRFDST;MEAN;12.469391939825439
GreyMatter;HDRFDST;STD;2.2168140767814544
Hippocampus;DICE;MEAN;0.5362999225600555
Hippocampus;DICE;STD;0.02619552220945817
Hippocampus;HDRFDST;MEAN;16.29893410711769
Hippocampus;HDRFDST;STD;3.024028269020602
Thalamus;DICE;MEAN;0.7130496183341952
Thalamus;DICE;STD;0.14688976361892983
Thalamus;HDRFDST;MEAN;27.300474531697905
Thalamus;HDRFDST;STD;15.115690204026874
WhiteMatter;DICE;MEAN;0.7679656807053054
WhiteMatter;DICE;STD;0.11627559024861912
WhiteMatter;HDRFDST;MEAN;17.51051160804246
WhiteMatter;HDRFDST;STD;3.237589106821658
